rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,train/learning_rate,train/n_updates,train/loss
0.01,1183,-0.15692569999999997,4320,300.0,1296000,1095,0.0001,12559,0.004354626405984163
0.01,1184,-0.15833419000000004,4324,300.0,1297200,1095,0.0001,12571,0.0008998085977509618
0.01,1184,0.01722030000000001,4328,300.0,1298400,1095,0.0001,12583,0.000897918944247067
0.01,1185,-0.18294235999999992,4332,300.0,1299600,1096,0.0001,12595,0.0005491513293236494
0.01,1235,-0.05287075999999985,4336,300.0,1300800,1053,0.0001,12607,0.0010302700102329254
0.01,1236,-0.1737075999999999,4340,300.0,1302000,1053,0.0001,12619,0.0006646012770943344
0.01,1236,-0.29848386999999993,4344,300.0,1303200,1053,0.0001,12631,0.0010490689892321825
0.01,1237,-0.38307886999999996,4348,300.0,1304400,1054,0.0001,12643,0.0008994380477815866
0.01,1238,-0.39369946999999994,4352,300.0,1305600,1054,0.0001,12655,0.0003915989655070007
0.01,1239,-0.07326560999999987,4356,300.0,1306800,1054,0.0001,12667,0.0006869918433949351
0.01,1239,-0.020797189999999924,4360,300.0,1308000,1055,0.0001,12679,0.0006928073125891387
0.01,1240,-0.21087094,4364,300.0,1309200,1055,0.0001,12691,0.0006425321334972978
0.01,1241,-0.23099551,4368,300.0,1310400,1055,0.0001,12703,0.0006025208858773112
0.01,1241,-0.21133961999999998,4372,300.0,1311600,1056,0.0001,12715,0.000653174240142107
0.01,1242,-0.2590997399999999,4376,300.0,1312800,1056,0.0001,12727,0.0020750456023961306
0.01,1243,-0.2225420199999999,4380,300.0,1314000,1056,0.0001,12739,0.000864954839926213
0.01,1244,-0.13078748999999987,4384,300.0,1315200,1057,0.0001,12751,0.0011519123800098896
0.01,1244,-0.062058989999999994,4388,300.0,1316400,1057,0.0001,12763,0.0009194008307531476
0.01,1245,0.10256170999999999,4392,300.0,1317600,1057,0.0001,12775,0.0006282756803557277
0.01,1246,0.03540032999999994,4396,300.0,1318800,1058,0.0001,12787,0.0005546683096326888
0.01,1246,-0.1717784400000001,4400,300.0,1320000,1058,0.0001,12799,0.0007536290213465691
0.01,1247,-0.21389917000000003,4404,300.0,1321200,1058,0.0001,12811,0.0009656357578933239
0.01,1248,-0.25324399000000003,4408,300.0,1322400,1058,0.0001,12823,0.0010035064769908786
0.01,1249,-0.08723944000000007,4412,300.0,1323600,1059,0.0001,12835,0.0024440691340714693
0.01,1250,0.0050179799999999376,4416,300.0,1324800,1059,0.0001,12847,0.0015527165960520506
0.01,1251,0.029139369999999977,4420,300.0,1326000,1059,0.0001,12859,0.0006108764791861176
0.01,1251,0.010225799999999967,4424,300.0,1327200,1060,0.0001,12871,0.001747257076203823
0.01,1252,-0.0679076700000001,4428,300.0,1328400,1060,0.0001,12883,0.0007789439405314624
0.01,1253,0.056995379999999984,4432,300.0,1329600,1060,0.0001,12895,0.0006980544421821833
0.01,1254,0.01734591999999995,4436,300.0,1330800,1061,0.0001,12907,0.0008482910925522447
0.01,1254,0.17690880999999986,4440,300.0,1332000,1061,0.0001,12919,0.000973523361608386
0.01,1255,0.34489833999999997,4444,300.0,1333200,1062,0.0001,12931,0.0008481137920171022
0.01,1256,0.35974055,4448,300.0,1334400,1062,0.0001,12943,0.001276821130886674
0.01,1256,0.3494788299999999,4452,300.0,1335600,1062,0.0001,12955,0.0007138247601687908
0.01,1257,0.09535989000000004,4456,300.0,1336800,1063,0.0001,12967,0.0021879486739635468
0.01,1258,0.08882284000000007,4460,300.0,1338000,1063,0.0001,12979,0.0011580903083086014
0.01,1258,0.16404354000000002,4464,300.0,1339200,1063,0.0001,12991,0.0015818269457668066
0.01,1259,0.2754848100000001,4468,300.0,1340400,1064,0.0001,13003,0.0008551729843020439
0.01,1260,0.25470275000000003,4472,300.0,1341600,1064,0.0001,13015,0.0007867107633501291
0.01,1260,0.38177346,4476,300.0,1342800,1065,0.0001,13027,0.0005610819207504392
0.01,1261,0.37832097999999986,4480,300.0,1344000,1065,0.0001,13039,0.0008660146268084645
0.01,1262,0.30312248999999997,4484,300.0,1345200,1065,0.0001,13051,0.0009812877979129553
0.01,1262,0.09892303999999999,4488,300.0,1346400,1066,0.0001,13063,0.00120373978279531
0.01,1263,0.08970541000000003,4492,300.0,1347600,1066,0.0001,13075,0.0006712712347507477
0.01,1264,0.17273846000000007,4496,300.0,1348800,1066,0.0001,13087,0.0005752276629209518
0.01,1264,0.35896176000000013,4500,300.0,1350000,1067,0.0001,13099,0.0008200961747206748
0.01,1265,0.31863943999999994,4504,300.0,1351200,1067,0.0001,13111,0.000486130069475621
0.01,1266,0.3946297599999999,4508,300.0,1352400,1068,0.0001,13123,0.0009041099110618234
0.01,1266,0.36707903000000003,4512,300.0,1353600,1068,0.0001,13135,0.0015876122051849961
0.01,1267,0.4186617100000001,4516,300.0,1354800,1068,0.0001,13147,0.0007249990594573319
0.01,1268,0.43302934,4520,300.0,1356000,1069,0.0001,13159,0.0007977858185768127
0.01,1269,0.48762072,4524,300.0,1357200,1069,0.0001,13171,0.001358923502266407
0.01,1269,0.4800352399999999,4528,300.0,1358400,1069,0.0001,13183,0.0007436241721734405
0.01,1270,0.55539851,4532,300.0,1359600,1070,0.0001,13195,0.0006322843255475163
0.01,1271,0.5580148,4536,300.0,1360800,1070,0.0001,13207,0.000989231513813138
0.01,1271,0.42649683000000005,4540,300.0,1362000,1070,0.0001,13219,0.0006665551918558776
0.01,1272,0.41001686,4544,300.0,1363200,1071,0.0001,13231,0.0016656089574098587
0.01,1273,0.43122664999999993,4548,300.0,1364400,1071,0.0001,13243,0.0008012897451408207
0.01,1273,0.4910779500000001,4552,300.0,1365600,1072,0.0001,13255,0.0005570935900323093
0.01,1274,0.4331842700000001,4556,300.0,1366800,1072,0.0001,13267,0.0010868683457374573
0.01,1274,0.37945688,4560,300.0,1368000,1072,0.0001,13279,0.0011189432116225362
0.01,1275,0.3231688,4564,300.0,1369200,1073,0.0001,13291,0.0006106629152782261
0.01,1276,0.240055,4568,300.0,1370400,1073,0.0001,13303,0.000638982281088829
0.01,1276,0.2672491900000001,4572,300.0,1371600,1074,0.0001,13315,0.000704569392837584
0.01,1277,0.2661174800000001,4576,300.0,1372800,1074,0.0001,13327,0.000778759887907654
0.01,1278,0.24737135,4580,300.0,1374000,1074,0.0001,13339,0.000897360616363585
0.01,1279,0.28390279,4584,300.0,1375200,1074,0.0001,13351,0.0007080823997966945
0.01,1280,0.4666699000000001,4588,300.0,1376400,1075,0.0001,13363,0.0006083240150474012
0.01,1280,0.40877227000000005,4592,300.0,1377600,1075,0.0001,13375,0.0010637174127623439
0.01,1281,0.38815548000000005,4596,300.0,1378800,1075,0.0001,13387,0.0007008893880993128
0.01,1282,0.34778956000000005,4600,300.0,1380000,1076,0.0001,13399,0.0007623161654919386
0.01,1282,0.5050054799999999,4604,300.0,1381200,1076,0.0001,13411,0.0007860820624046028
0.01,1283,0.38750276,4608,300.0,1382400,1077,0.0001,13423,0.0007571076275780797
0.01,1284,0.44958243,4612,300.0,1383600,1077,0.0001,13435,0.0007360492600128055
0.01,1284,0.48370264999999996,4616,300.0,1384800,1077,0.0001,13447,0.0011792667210102081
0.01,1285,0.52039879,4620,300.0,1386000,1078,0.0001,13459,0.00061990279937163
0.01,1286,0.49990854000000007,4624,300.0,1387200,1078,0.0001,13471,0.0010061233770102262
0.01,1286,0.5079911,4628,300.0,1388400,1078,0.0001,13483,0.0004741898737847805
0.01,1287,0.33940968000000005,4632,300.0,1389600,1079,0.0001,13495,0.0017934627830982208
0.01,1288,0.20945257,4636,300.0,1390800,1079,0.0001,13507,0.001234151073731482
0.01,1288,0.20080408000000002,4640,300.0,1392000,1079,0.0001,13519,0.001401778543367982
0.01,1289,0.20191213000000002,4644,300.0,1393200,1080,0.0001,13531,0.0005490061594173312
0.01,1290,0.037980490000000054,4648,300.0,1394400,1080,0.0001,13543,0.0006529131787829101
0.01,1290,-0.005228639999999931,4652,300.0,1395600,1081,0.0001,13555,0.0006224840180948377
0.01,1291,0.15523456,4656,300.0,1396800,1081,0.0001,13567,0.0011696997098624706
0.01,1291,0.32378545,4660,300.0,1398000,1082,0.0001,13579,0.0007043796358630061
0.01,1292,0.49275238999999993,4664,300.0,1399200,1082,0.0001,13591,0.001860935939475894
0.01,1343,0.42147782999999994,4668,300.0,1400400,1042,0.0001,13603,0.0006117848097346723
0.01,1344,0.3406775800000002,4672,300.0,1401600,1042,0.0001,13615,0.0005857831565663218
0.01,1345,0.31325074,4676,300.0,1402800,1042,0.0001,13627,0.0007004719227552414
0.01,1346,0.4098337200000001,4680,300.0,1404000,1042,0.0001,13639,0.003984851762652397
0.01,1347,0.39855131000000016,4684,300.0,1405200,1043,0.0001,13651,0.0007942839292809367
0.01,1347,0.37301273,4688,300.0,1406400,1043,0.0001,13663,0.000707445025909692
0.01,1348,0.5852086600000002,4692,300.0,1407600,1043,0.0001,13675,0.0005786632536910474
0.01,1349,0.58921314,4696,300.0,1408800,1044,0.0001,13687,0.0008704309584572911
0.01,1349,0.50500228,4700,300.0,1410000,1044,0.0001,13699,0.0004745788755826652
0.01,1350,0.37539847000000004,4704,300.0,1411200,1044,0.0001,13711,0.0014917099615558982
0.01,1351,0.43202278000000005,4708,300.0,1412400,1045,0.0001,13723,0.0006419537821784616
0.01,1351,0.4453501700000001,4712,300.0,1413600,1045,0.0001,13735,0.0008742801146581769
0.01,1352,0.4253178200000001,4716,300.0,1414800,1045,0.0001,13747,0.001000830321572721
0.01,1353,0.33069914999999994,4720,300.0,1416000,1046,0.0001,13759,0.0005153008969500661
0.01,1353,0.12838643999999996,4724,300.0,1417200,1046,0.0001,13771,0.0015292696189135313
0.01,1354,0.07391724,4728,300.0,1418400,1047,0.0001,13783,0.002151989610865712
0.01,1355,0.17735347000000004,4732,300.0,1419600,1047,0.0001,13795,0.0008118849946185946
0.01,1356,0.21069560000000007,4736,300.0,1420800,1047,0.0001,13807,0.0006748565356247127
0.01,1356,0.36393528,4740,300.0,1422000,1048,0.0001,13819,0.0006185616948641837
0.01,1357,0.36420927,4744,300.0,1423200,1048,0.0001,13831,0.0015756429638713598
0.01,1358,0.50002705,4748,300.0,1424400,1048,0.0001,13843,0.0008079500985331833
0.01,1358,0.6115887299999999,4752,300.0,1425600,1049,0.0001,13855,0.0007960327202454209
0.01,1359,0.6347591199999999,4756,300.0,1426800,1049,0.0001,13867,0.001138151972554624
0.01,1360,0.52794785,4760,300.0,1428000,1049,0.0001,13879,0.007195373997092247
0.01,1361,0.32119285000000003,4764,300.0,1429200,1049,0.0001,13891,0.0009802522836253047
0.01,1361,0.3621917300000001,4768,300.0,1430400,1050,0.0001,13903,0.0006321138935163617
0.01,1362,0.38588520000000004,4772,300.0,1431600,1050,0.0001,13915,0.0007338570430874825
0.01,1363,0.36017077999999997,4776,300.0,1432800,1050,0.0001,13927,0.00048295120359398425
0.01,1364,0.37726726,4780,300.0,1434000,1051,0.0001,13939,0.0007719653658568859
0.01,1364,0.4372525800000001,4784,300.0,1435200,1051,0.0001,13951,0.0010975730838254094
0.01,1365,0.49054614999999996,4788,300.0,1436400,1052,0.0001,13963,0.0010783664183691144
0.01,1366,0.35893350000000007,4792,300.0,1437600,1052,0.0001,13975,0.0007808918599039316
0.01,1366,0.2846057300000001,4796,300.0,1438800,1052,0.0001,13987,0.0011845792178064585
0.01,1367,0.48986314999999997,4800,300.0,1440000,1052,0.0001,13999,0.000595401506870985
0.01,1368,0.49380327000000007,4804,300.0,1441200,1053,0.0001,14011,0.0009173529106192291
0.01,1369,0.46312131000000006,4808,300.0,1442400,1053,0.0001,14023,0.0008661790052428842
0.01,1369,0.37775954999999994,4812,300.0,1443600,1053,0.0001,14035,0.0007086645346134901
0.01,1370,0.3900805399999999,4816,300.0,1444800,1054,0.0001,14047,0.00047551392344757915
0.01,1371,0.33430096,4820,300.0,1446000,1054,0.0001,14059,0.000643006875179708
0.01,1372,0.5218646699999999,4824,300.0,1447200,1054,0.0001,14071,0.0006979605532251298
0.01,1372,0.4029045199999999,4828,300.0,1448400,1055,0.0001,14083,0.0013198109809309244
0.01,1373,0.43583256,4832,300.0,1449600,1055,0.0001,14095,0.0014309148536995053
0.01,1374,0.40328114,4836,300.0,1450800,1055,0.0001,14107,0.0009827999165281653
0.01,1374,0.2474042800000001,4840,300.0,1452000,1056,0.0001,14119,0.0018726750276982784
0.01,1375,0.18934457000000005,4844,300.0,1453200,1056,0.0001,14131,0.0008072187192738056
0.01,1376,0.18872735000000002,4848,300.0,1454400,1056,0.0001,14143,0.003617917187511921
0.01,1377,0.1591994800000001,4852,300.0,1455600,1057,0.0001,14155,0.0006236687186174095
0.01,1377,0.1055870600000001,4856,300.0,1456800,1057,0.0001,14167,0.0005102665163576603
0.01,1378,0.08459590000000006,4860,300.0,1458000,1057,0.0001,14179,0.0009261497179977596
0.01,1379,0.10304973999999997,4864,300.0,1459200,1057,0.0001,14191,0.002226745244115591
0.01,1379,0.18095677,4868,300.0,1460400,1058,0.0001,14203,0.0009717541979625821
0.01,1380,0.25026446999999996,4872,300.0,1461600,1058,0.0001,14215,0.0010442249476909637
0.01,1381,0.21953776999999997,4876,300.0,1462800,1059,0.0001,14227,0.0006760201067663729
0.01,1381,0.03802301000000002,4880,300.0,1464000,1059,0.0001,14239,0.0018813973292708397
0.01,1382,-0.17432005000000003,4884,300.0,1465200,1059,0.0001,14251,0.0006956169963814318
0.01,1383,-0.28588992,4888,300.0,1466400,1060,0.0001,14263,0.0011856728233397007
0.01,1383,-0.31398555,4892,300.0,1467600,1060,0.0001,14275,0.0004796099092345685
0.01,1384,-0.23418735000000004,4896,300.0,1468800,1060,0.0001,14287,0.0018868716433644295
0.01,1385,-0.41563959999999994,4900,300.0,1470000,1061,0.0001,14299,0.001404485898092389
0.01,1385,-0.43472486999999993,4904,300.0,1471200,1061,0.0001,14311,0.000891637580934912
0.01,1386,-0.43249176000000006,4908,300.0,1472400,1061,0.0001,14323,0.000899756618309766
0.01,1387,-0.40616606000000005,4912,300.0,1473600,1062,0.0001,14335,0.0008272463455796242
0.01,1388,-0.4376869599999999,4916,300.0,1474800,1062,0.0001,14347,0.0005468071321956813
0.01,1389,-0.53126028,4920,300.0,1476000,1062,0.0001,14359,0.0012364209396764636
0.01,1389,-0.6108830100000001,4924,300.0,1477200,1062,0.0001,14371,0.0011573545634746552
0.01,1390,-0.4892054900000001,4928,300.0,1478400,1063,0.0001,14383,0.0008176390547305346
0.01,1391,-0.51269939,4932,300.0,1479600,1063,0.0001,14395,0.0011919952230527997
0.01,1391,-0.6747711600000001,4936,300.0,1480800,1063,0.0001,14407,0.0009038631687872112
0.01,1392,-0.62196891,4940,300.0,1482000,1064,0.0001,14419,0.0036482694558799267
0.01,1393,-0.7835632799999999,4944,300.0,1483200,1064,0.0001,14431,0.0007112871971912682
0.01,1393,-0.70236164,4948,300.0,1484400,1064,0.0001,14443,0.0008309933473356068
0.01,1394,-0.72697045,4952,300.0,1485600,1065,0.0001,14455,0.0005350149003788829
0.01,1395,-0.83457705,4956,300.0,1486800,1065,0.0001,14467,0.0013845866778865457
0.01,1395,-0.77759736,4960,300.0,1488000,1065,0.0001,14479,0.00100098573602736
