rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/loss
1.2470682000000002,1597200,5324,1726,0.01,300.0,924,0.0001,15571,0.004960284568369389
1.31984614,1598400,5328,1727,0.01,300.0,925,0.0001,15583,0.005693171173334122
1.7584743900000004,1599600,5332,1728,0.01,300.0,925,0.0001,15595,0.006131981499493122
1.74517312,1600800,5336,1788,0.01,300.0,895,0.0001,15607,0.007429089397192001
1.4917215900000003,1602000,5340,1789,0.01,300.0,895,0.0001,15619,0.006306123919785023
1.3187088900000001,1603200,5344,1790,0.01,300.0,895,0.0001,15631,0.005762963555753231
1.2220587900000002,1604400,5348,1790,0.01,300.0,895,0.0001,15643,0.006045803427696228
1.33371814,1605600,5352,1791,0.01,300.0,896,0.0001,15655,0.004327130038291216
1.32901464,1606800,5356,1792,0.01,300.0,896,0.0001,15667,0.004209451377391815
1.6360189300000005,1608000,5360,1793,0.01,300.0,896,0.0001,15679,0.004446496721357107
1.6210018300000002,1609200,5364,1794,0.01,300.0,896,0.0001,15691,0.004179596435278654
1.5247195400000002,1610400,5368,1795,0.01,300.0,897,0.0001,15703,0.005162438377737999
1.4380800299999998,1611600,5372,1795,0.01,300.0,897,0.0001,15715,0.0038312170654535294
1.3867807499999998,1612800,5376,1796,0.01,300.0,897,0.0001,15727,0.0073422761633992195
1.0683451300000002,1614000,5380,1797,0.01,300.0,897,0.0001,15739,0.006067356094717979
1.07850232,1615200,5384,1798,0.01,300.0,898,0.0001,15751,0.005121083464473486
0.7004325800000002,1616400,5388,1798,0.01,300.0,898,0.0001,15763,0.006754247937351465
0.8392833800000001,1617600,5392,1799,0.01,300.0,898,0.0001,15775,0.007738668471574783
0.35079960999999993,1618800,5396,1800,0.01,300.0,899,0.0001,15787,0.012180894613265991
0.22183810999999987,1620000,5400,1801,0.01,300.0,899,0.0001,15799,0.006007160525768995
0.25337329999999986,1621200,5404,1802,0.01,300.0,899,0.0001,15811,0.0043336572125554085
0.26872296,1622400,5408,1803,0.01,300.0,899,0.0001,15823,0.00553746335208416
0.29114290000000004,1623600,5412,1804,0.01,300.0,899,0.0001,15835,0.004315467085689306
0.71542361,1624800,5416,1804,0.01,300.0,900,0.0001,15847,0.0046325246803462505
0.2970485399999999,1626000,5420,1805,0.01,300.0,900,0.0001,15859,0.006296520587056875
0.27220482999999995,1627200,5424,1806,0.01,300.0,900,0.0001,15871,0.005422188434749842
0.22239373,1628400,5428,1807,0.01,300.0,901,0.0001,15883,0.0044728778302669525
-0.09027167999999994,1629600,5432,1807,0.01,300.0,901,0.0001,15895,0.009228739887475967
0.3298591900000001,1630800,5436,1808,0.01,300.0,901,0.0001,15907,0.0056191543117165565
0.4729764900000001,1632000,5440,1809,0.01,300.0,901,0.0001,15919,0.003426723647862673
0.25625704000000016,1633200,5444,1810,0.01,300.0,902,0.0001,15931,0.005785244517028332
0.30339596999999996,1634400,5448,1810,0.01,300.0,902,0.0001,15943,0.005309232044965029
0.17263775000000017,1635600,5452,1811,0.01,300.0,902,0.0001,15955,0.0055798618122935295
0.021493490000000184,1636800,5456,1812,0.01,300.0,902,0.0001,15967,0.006479905918240547
0.010173749999999853,1638000,5460,1813,0.01,300.0,903,0.0001,15979,0.006004659458994865
-0.06194918000000009,1639200,5464,1814,0.01,300.0,903,0.0001,15991,0.007673193234950304
