time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss
141312,715,197,69,300.0,-1.2398275100000005,0.2,-0.03699584297428373,0.177294921875,0.02400048077106476,0.21742929050233215,0.019147575,0.0003,-0.06586837768554688,680,-1.3217338614165783
143360,718,199,70,300.0,-0.8210750100000002,0.2,-0.03736089541052934,0.189208984375,0.11121431738138199,0.3179428813047707,0.01828548,0.0003,0.16943693161010742,690,-1.2958893559873104
145408,721,201,71,300.0,-0.6650666800000004,0.2,-0.03915510531805921,0.1962890625,0.17398858070373535,0.3898197055328637,0.018322742,0.0003,0.002652585506439209,700,-1.271618977934122
147456,724,203,72,300.0,-0.7154570500000004,0.2,-0.037362373198266144,0.1748046875,0.09762899577617645,0.402526840288192,0.018399838,0.0003,0.09477496147155762,710,-1.2557776436209678
149504,727,205,73,300.0,-0.5227212599999999,0.2,-0.036644343793159354,0.19296875,0.12739253044128418,0.48546525770798327,0.019138321,0.0003,0.0025787949562072754,720,-1.262423113361001
151552,730,207,74,300.0,-0.466193,0.2,-0.03975991677143611,0.19375,0.2899559736251831,0.6277118353173137,0.019757321,0.0003,0.044631242752075195,730,-1.2611447300761938
153600,732,209,75,300.0,-0.31832413000000004,0.2,-0.039216508992831224,0.201025390625,0.16750425100326538,0.38147035096772014,0.01756692,0.0003,0.0600317120552063,740,-1.2340929470956326
155648,734,211,76,300.0,-0.38614777000000006,0.2,-0.03867121860384941,0.1775390625,0.09204404056072235,0.39786975900642574,0.018144134,0.0003,-0.03453528881072998,750,-1.2340088684111834
157696,737,213,77,300.0,-0.48479337999999983,0.2,-0.033832944824825975,0.180126953125,0.11221883445978165,0.37141139814630153,0.018071316,0.0003,-0.007476329803466797,760,-1.217813577875495
159744,739,215,78,300.0,-0.22987060000000006,0.2,-0.03986066019278951,0.179638671875,0.10495191067457199,0.3760451091453433,0.017577056,0.0003,-0.06084930896759033,770,-1.2365152779966593
161792,742,218,79,300.0,-0.24317548000000017,0.2,-0.03380279823322781,0.1814453125,0.013544172048568726,0.16948588569648565,0.018303718,0.0003,0.17700403928756714,780,-1.2201936770230533
