rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
300.0,1265,160,202800,676,0.05167860999999992,0.6211849056603772,0.0028617214411497116,0.0001,1627
300.0,1268,160,204000,680,0.08926861999999991,0.6189433962264153,0.002957121469080448,0.0001,1639
300.0,1272,161,205200,684,0.08107871000000003,0.6167018867924527,0.002400965429842472,0.0001,1651
300.0,1275,161,206400,688,0.07281800000000002,0.6144603773584907,0.00383407948538661,0.0001,1663
300.0,1277,162,207600,692,0.05587842999999999,0.6122188679245283,0.002124535385519266,0.0001,1675
300.0,1281,162,208800,696,-0.02526341,0.6099773584905659,0.0026468681171536446,0.0001,1687
300.0,1285,163,210000,700,-0.10598831,0.6077358490566038,0.0022653345949947834,0.0001,1699
300.0,1288,163,211200,704,-0.08276699000000001,0.6054943396226414,0.0034409970976412296,0.0001,1711
300.0,1292,164,212400,708,-0.08081832,0.6032528301886795,0.0023723002523183823,0.0001,1723
300.0,1295,164,213600,712,-0.14089256,0.601011320754717,0.005003625527024269,0.0001,1735
300.0,1298,165,214800,716,-0.19941732,0.5987698113207549,0.005201396998018026,0.0001,1747
300.0,1302,165,216000,720,-0.04621476000000005,0.5965283018867925,0.002183702774345875,0.0001,1759
300.0,1305,166,217200,724,-0.15314767000000004,0.5942867924528301,0.004553797654807568,0.0001,1771
300.0,1308,166,218400,728,-0.08777751000000007,0.592045283018868,0.0010401365580037236,0.0001,1783
300.0,1312,167,219600,732,-0.17798765000000005,0.5898037735849057,0.005473214201629162,0.0001,1795
300.0,1314,167,220800,736,-0.15061145,0.5875622641509433,0.0034385723993182182,0.0001,1807
300.0,1317,168,222000,740,-0.12177689000000001,0.5853207547169812,0.002271599369123578,0.0001,1819
300.0,1320,169,223200,744,-0.20033775,0.5830792452830188,0.004513373598456383,0.0001,1831
300.0,1323,169,224400,748,-0.25533863,0.5808377358490567,0.0026302903424948454,0.0001,1843
300.0,1327,169,225600,752,-0.30222893999999995,0.5785962264150943,0.003733924124389887,0.0001,1855
300.0,1330,170,226800,756,-0.21351872999999993,0.5763547169811323,0.003971199505031109,0.0001,1867
300.0,1333,171,228000,760,-0.16428873999999996,0.5741132075471699,0.0023339500185102224,0.0001,1879
300.0,1336,171,229200,764,0.021613979999999953,0.5718716981132075,0.002630878472700715,0.0001,1891
300.0,1339,171,230400,768,0.04008075999999997,0.5696301886792454,0.004847225733101368,0.0001,1903
300.0,1343,172,231600,772,0.09280909,0.567388679245283,0.004202829208225012,0.0001,1915
300.0,1345,172,232800,776,0.061159849999999995,0.5651471698113206,0.001211373833939433,0.0001,1927
300.0,1348,173,234000,780,0.07761291000000005,0.5629056603773586,0.0036546271294355392,0.0001,1939
300.0,1352,173,235200,784,0.10801358000000003,0.5606641509433961,0.003901233896613121,0.0001,1951
300.0,1355,174,236400,788,0.14714034000000006,0.5584226415094341,0.0013526061084121466,0.0001,1963
300.0,1358,174,237600,792,0.06740827000000016,0.5561811320754717,0.004203643184155226,0.0001,1975
300.0,1361,175,238800,796,0.08957848000000013,0.5539396226415096,0.0029144478030502796,0.0001,1987
