rollout/ep_rew_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/loss,train/n_updates,train/learning_rate
0.52175834,0.01,946,1153200,300.0,1217,3844,0.0054787625558674335,11131,0.0001
0.8296372000000001,0.01,947,1154400,300.0,1218,3848,0.005702831782400608,11143,0.0001
0.9415249899999999,0.01,947,1155600,300.0,1219,3852,0.004092636052519083,11155,0.0001
1.01560137,0.01,948,1156800,300.0,1220,3856,0.004441982600837946,11167,0.0001
0.77770591,0.01,948,1158000,300.0,1220,3860,0.009161638095974922,11179,0.0001
0.4063393499999999,0.01,948,1159200,300.0,1221,3864,0.0050218794494867325,11191,0.0001
0.31376058999999995,0.01,949,1160400,300.0,1222,3868,0.005239350721240044,11203,0.0001
0.39302294,0.01,949,1161600,300.0,1223,3872,0.004171815235167742,11215,0.0001
0.2543715899999999,0.01,949,1162800,300.0,1224,3876,0.004835598170757294,11227,0.0001
0.6707897300000002,0.01,950,1164000,300.0,1224,3880,0.004075134173035622,11239,0.0001
0.7804945000000002,0.01,950,1165200,300.0,1225,3884,0.004818235523998737,11251,0.0001
0.2778196300000001,0.01,951,1166400,300.0,1226,3888,0.011289093643426895,11263,0.0001
-0.15318485000000007,0.01,951,1167600,300.0,1227,3892,0.004923646338284016,11275,0.0001
-0.3638913100000002,0.01,951,1168800,300.0,1227,3896,0.006758862175047398,11287,0.0001
-0.7448144900000001,0.01,952,1170000,300.0,1228,3900,0.006889434531331062,11299,0.0001
-0.9350815400000002,0.01,952,1171200,300.0,1229,3904,0.005972429644316435,11311,0.0001
-0.9727427100000002,0.01,953,1172400,300.0,1230,3908,0.005092373583465815,11323,0.0001
-0.7955060300000001,0.01,953,1173600,300.0,1230,3912,0.004191185813397169,11335,0.0001
-0.8832819199999997,0.01,953,1174800,300.0,1231,3916,0.004972278140485287,11347,0.0001
-0.7718287500000001,0.01,954,1176000,300.0,1232,3920,0.004773449618369341,11359,0.0001
-0.3542229400000002,0.01,954,1177200,300.0,1233,3924,0.0062633417546749115,11371,0.0001
-0.34053670999999985,0.01,955,1178400,300.0,1233,3928,0.005179137457162142,11383,0.0001
-0.3571951599999999,0.01,955,1179600,300.0,1234,3932,0.0038209992926567793,11395,0.0001
-0.6974400299999999,0.01,955,1180800,300.0,1235,3936,0.004752281121909618,11407,0.0001
-0.25872467999999976,0.01,956,1182000,300.0,1235,3940,0.004956407006829977,11419,0.0001
0.3573033700000002,0.01,956,1183200,300.0,1236,3944,0.007195672020316124,11431,0.0001
