time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss
574,1513472,739,2635,1.30807703,300.0,-0.5833550175651908,0.09396687150001526,0.14757269620895386,0.04403448,0.5134802035521716,0.0003,7380,0.2,0.21640625,-0.03868433002498932
574,1515520,740,2637,1.1667854499999997,300.0,-0.5917875485494732,0.05846314877271652,0.2978549599647522,0.05164867,0.3043709372635931,0.0003,7390,0.2,0.247216796875,-0.042731648674816824
574,1517568,741,2639,1.3241694199999996,300.0,-0.5983603517524898,0.004066765308380127,0.4242454171180725,0.06167768,0.1716677704360336,0.0003,7400,0.2,0.24873046875,-0.04280483476468362
575,1519616,742,2641,1.4586684900000002,300.0,-0.5906496515497566,0.2513674199581146,0.27743059396743774,0.041022696,0.5502995575778187,0.0003,7410,0.2,0.21962890625,-0.0403553092997754
575,1521664,743,2643,1.48146721,300.0,-0.5716262782923878,0.35530370473861694,0.28567129373550415,0.041968293,0.747700861748308,0.0003,7420,0.2,0.208154296875,-0.03841728224797407
575,1523712,744,2646,1.5834501100000002,300.0,-0.5687290463596583,0.17151346802711487,0.2929956912994385,0.043480482,0.44001686135306955,0.0003,7430,0.2,0.228955078125,-0.03907452330604429
576,1525760,745,2648,1.61753478,300.0,-0.5921259702183306,0.20455622673034668,0.3206636309623718,0.04928308,0.5244494607672096,0.0003,7440,0.2,0.23671875,-0.04091126197599806
576,1527808,746,2650,0.88366608,300.0,-0.5802607231773436,0.060610488057136536,0.3486762046813965,0.057929732,0.36227189511992036,0.0003,7450,0.2,0.23837890625,-0.04040257493470563
576,1529856,747,2652,0.6966556000000002,300.0,-0.5982347336597741,0.021877266466617584,0.406380295753479,0.053519577,0.23756480985321105,0.0003,7460,0.2,0.258056640625,-0.043440673250006515
576,1531904,748,2655,0.6578886799999998,300.0,-0.5812024904415012,0.04086896777153015,0.14554935693740845,0.0608301,0.22520163282752037,0.0003,7470,0.2,0.248486328125,-0.04069625397387426
577,1533952,749,2657,0.3843791299999998,300.0,-0.5928439864888787,0.04873830825090408,0.15235483646392822,0.05248353,0.2899979554116726,0.0003,7480,0.2,0.239453125,-0.0429010477848351
577,1536000,750,2659,0.38124696999999974,300.0,-0.5889877445064485,0.04594670608639717,0.1846538782119751,0.048212476,0.39123209272511306,0.0003,7490,0.2,0.224951171875,-0.03655512818077113
577,1538048,751,2661,0.3250058499999997,300.0,-0.5813439339399338,0.1022753119468689,0.328052282333374,0.04871144,0.3663306345231831,0.0003,7500,0.2,0.2408203125,-0.04152603444526903
578,1540096,752,2664,0.06644476999999999,300.0,-0.5568443782627582,0.32696205377578735,0.17220234870910645,0.04827304,0.6196883569471539,0.0003,7510,0.2,0.225048828125,-0.03826466756290756
578,1542144,753,2666,0.12001319,300.0,-0.576543145161122,0.0847107395529747,-0.2652343511581421,0.050655287,0.35982715715654195,0.0003,7520,0.2,0.2267578125,-0.039701467266422694
578,1544192,754,2668,-0.047585539999999996,300.0,-0.5809371109120548,0.03057512640953064,0.35935455560684204,0.05586552,0.17839081953279673,0.0003,7530,0.2,0.247216796875,-0.0399406109994743
578,1546240,755,2670,-0.3673840600000001,300.0,-0.6077677051536738,-0.016723521053791046,0.5199582576751709,0.056464307,0.14469046476297082,0.0003,7540,0.2,0.248828125,-0.042906063279951924
579,1548288,756,2673,-0.2097479800000001,300.0,-0.5993493717163801,0.07244540750980377,0.4143422842025757,0.049367122,0.26187775682192294,0.0003,7550,0.2,0.238916015625,-0.0382236539007863
579,1550336,757,2675,-0.45984060000000015,300.0,-0.5890147536061704,0.0343610942363739,0.0731194019317627,0.059026953,0.2602588651236147,0.0003,7560,0.2,0.235791015625,-0.042966279602842404
579,1552384,758,2677,-0.6137530000000001,300.0,-0.5935250223614276,0.09242817014455795,0.0671953558921814,0.054987013,0.3272803314961493,0.0003,7570,0.2,0.24521484375,-0.04501349763741018
580,1554432,759,2679,-1.13617528,300.0,-0.6069476745091379,0.1920977681875229,-0.03151702880859375,0.041924033,0.5530447378754616,0.0003,7580,0.2,0.225341796875,-0.04293791934032924
580,1556480,760,2681,-1.2347663100000004,300.0,-0.5988427489064634,0.22354507446289062,0.08838456869125366,0.05162732,0.760816494282335,0.0003,7590,0.2,0.23662109375,-0.04476951785181882
580,1558528,761,2684,-1.36840399,300.0,-0.5950175603851676,0.10034641623497009,0.07498830556869507,0.046681307,0.6182991793379188,0.0003,7600,0.2,0.233349609375,-0.04169448786851717
580,1560576,762,2686,-1.5678964,300.0,-0.5926609787158668,0.41251832246780396,0.14299333095550537,0.045325674,1.1577580742537976,0.0003,7610,0.2,0.227587890625,-0.04081563153595198
581,1562624,763,2688,-1.38129744,300.0,-0.5915376661345363,-0.019053705036640167,0.5861221551895142,0.064732626,0.1265394174028188,0.0003,7620,0.2,0.2705078125,-0.046540304287918846
