time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction
118,811,0.039219500000000004,47,96256,300.0,0.0003,0.011583089828491211,-0.03913417086005211,0.014514355,0.06423303682240658,-1.3789290279150008,-0.03487124581442913,0.2,460,0.164111328125
120,813,-0.03608744000000004,48,98304,300.0,0.0003,-0.05654561519622803,-0.05632176250219345,0.015611326,0.050089738029055295,-1.3822402391582727,-0.03539307989703957,0.2,470,0.161279296875
184,545,-0.22428713000000003,49,100352,300.0,0.0003,-0.012336254119873047,-0.02099914662539959,0.01576355,0.06272722902940586,-1.346914179995656,-0.03601830466941465,0.2,480,0.17490234375
186,548,-0.28699387000000004,50,102400,300.0,0.0003,-0.08206725120544434,-0.051518842577934265,0.015845362,0.039975964283803476,-1.3629600320011377,-0.035988134864601305,0.2,490,0.161572265625
189,550,-0.26662847000000006,51,104448,300.0,0.0003,-0.0268402099609375,-0.06508565694093704,0.014478752,0.03725790466414765,-1.3360194239765406,-0.0350598858873127,0.2,500,0.156396484375
191,555,-0.11195720000000002,52,106496,300.0,0.0003,0.06356865167617798,-0.07808253169059753,0.01470237,0.05292045030510053,-1.2966955933719873,-0.03490862335602287,0.2,510,0.15947265625
195,556,0.15194412999999998,53,108544,300.0,0.0003,0.25169360637664795,-0.04378719627857208,0.016816057,0.04965058981324546,-1.2567653980106115,-0.03707071229000576,0.2,520,0.1669921875
197,561,0.16518622,54,110592,300.0,0.0003,0.14152246713638306,-0.01612846553325653,0.016230626,0.1092254703049548,-1.2450340081006288,-0.03150887036754284,0.2,530,0.1609375
199,565,0.07172873,55,112640,300.0,0.0003,0.23264271020889282,-0.06865261495113373,0.018975135,0.04723699227324687,-1.2241165045648814,-0.03131428087945096,0.2,540,0.153515625
201,568,0.028942299999999976,56,114688,300.0,0.0003,0.23004543781280518,-0.04716132581233978,0.015424117,0.043101422203471886,-1.2262886453419923,-0.036169171310029925,0.2,550,0.171240234375
204,571,-0.09915070000000008,57,116736,300.0,0.0003,0.3711370825767517,-0.030143754556775093,0.014379146,0.0297331077628769,-1.2129826348274946,-0.03260123794607352,0.2,560,0.162109375
206,575,-0.13169913000000005,58,118784,300.0,0.0003,-0.07556629180908203,-0.028986742720007896,0.0162071,0.05830141470651142,-1.2356167312711477,-0.032714717359340284,0.2,570,0.16728515625
208,578,-0.18934258000000004,59,120832,300.0,0.0003,0.07789498567581177,-0.03644102066755295,0.013418034,0.049152937304461373,-1.2682739034295083,-0.031877367550623606,0.2,580,0.133984375
211,582,-0.2345301000000001,60,122880,300.0,0.0003,0.1227344274520874,-0.029191456735134125,0.019842114,0.0654349585995078,-1.1899199608713389,-0.038620857856585644,0.2,590,0.197900390625
