time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/policy_gradient_loss
685,249856,-0.6832855899999999,122,364,300.0,0.02070233,0.15907145533710718,0.2,-0.008700847625732422,-1.1115131989121436,0.0003,1210,0.02369561418890953,0.1955078125,-0.04118523841607384
687,251904,-0.8454800199999998,123,366,300.0,0.0244416,0.3978748247027397,0.2,0.012875735759735107,-1.1255445608869195,0.0003,1220,0.1317249834537506,0.207373046875,-0.04114401827682741
689,253952,-0.75313721,124,368,300.0,0.021582143,0.4697719088755548,0.2,0.1189698576927185,-1.112136124446988,0.0003,1230,0.1458134800195694,0.19130859375,-0.041798169803223574
690,256000,-0.9685186700000001,125,370,300.0,0.021362867,0.5312528414651752,0.2,0.07285183668136597,-1.076742747053504,0.0003,1240,0.20707307755947113,0.20126953125,-0.04073313066037372
692,258048,-0.7824453200000001,126,372,300.0,0.023133405,0.15915522568393498,0.2,0.4166926145553589,-1.0766849780455232,0.0003,1250,-0.004729662090539932,0.21455078125,-0.04078952690178994
693,260096,-1.2083855399999999,127,374,300.0,0.020416548,0.326419814536348,0.2,0.2525336742401123,-1.0907186858356,0.0003,1260,0.07734823226928711,0.194140625,-0.04019332450989168
692,262144,-1.0224857099999998,128,378,300.0,0.022131186,0.25254653291776774,0.2,0.4751966595649719,-1.092345972545445,0.0003,1270,0.02575894445180893,0.192724609375,-0.03790878731233534
692,264192,-1.7387237899999999,129,381,300.0,0.021172862,0.5432366258464754,0.2,0.2087457776069641,-1.0789307126775385,0.0003,1280,0.029438093304634094,0.205078125,-0.04092019739182433
693,266240,-1.60068233,130,384,300.0,0.019800141,0.2557863266672939,0.2,0.33766067028045654,-1.0928840953856707,0.0003,1290,-0.0034738853573799133,0.197900390625,-0.03925365437753499
693,268288,-1.3440995299999998,131,386,300.0,0.021508235,0.21419327785260975,0.2,0.47475481033325195,-1.0820101926103234,0.0003,1300,0.019341550767421722,0.190625,-0.04037884777644649
694,270336,-1.1002570999999997,132,388,300.0,0.020785887,0.3901389760430902,0.2,0.36367684602737427,-1.0735903348773719,0.0003,1310,0.06818578392267227,0.203173828125,-0.042547274696698875
696,272384,-1.0899534199999998,133,391,300.0,0.02315382,0.30266377292573454,0.2,0.44707489013671875,-1.0858252208679915,0.0003,1320,0.029884621500968933,0.198486328125,-0.04138056968513411
696,274432,-1.21573244,134,394,300.0,0.02089636,0.30463880440220237,0.2,-0.06473302841186523,-1.0795475175604223,0.0003,1330,0.11201496422290802,0.19697265625,-0.03957394439203199
697,276480,-1.34595254,135,396,300.0,0.022331182,0.21726180606056006,0.2,0.1502305269241333,-1.0436565252020955,0.0003,1340,0.05128485709428787,0.204833984375,-0.04255460104905069
699,278528,-0.7198128199999997,136,398,300.0,0.021975823,0.2669159318320453,0.2,0.010264396667480469,-1.058381157182157,0.0003,1350,0.053993187844753265,0.20498046875,-0.037189679522998634
700,280576,-0.7194456800000003,137,400,300.0,0.018364178,0.36618940499611197,0.2,0.03393816947937012,-1.0332383377477528,0.0003,1360,0.06712803989648819,0.174853515625,-0.03731745853583561
701,282624,-0.5594475000000002,138,402,300.0,0.022213653,0.3280430809594691,0.2,0.033277153968811035,-1.039817026257515,0.0003,1370,0.10330051183700562,0.1984375,-0.03998894733376801
702,284672,-0.5474781599999999,139,404,300.0,0.02425011,0.20782350383233278,0.2,-0.09791684150695801,-1.0170575274154543,0.0003,1380,0.009501971304416656,0.21240234375,-0.04040501776034944
704,286720,-0.35518354000000024,140,407,300.0,0.021083778,0.8298514785245061,0.2,-0.025097966194152832,-1.0376065488904715,0.0003,1390,0.30443713068962097,0.2060546875,-0.04036771106475499
705,288768,-0.45425343999999995,141,409,300.0,0.020805307,0.22140321186743678,0.2,0.05765575170516968,-1.0256460275501014,0.0003,1400,0.03208937495946884,0.200341796875,-0.036387049325276165
706,290816,-0.23432391,142,411,300.0,0.021521825,0.2887932355515659,0.2,0.05312836170196533,-1.0273114040493965,0.0003,1410,0.10339304804801941,0.197998046875,-0.04132438493543304
707,292864,-0.0886392799999998,143,413,300.0,0.022991255,0.5427941023372114,0.2,0.02733558416366577,-1.0306827371940017,0.0003,1420,0.11073505133390427,0.203759765625,-0.040765223233029245
709,294912,0.26445728,144,415,300.0,0.026431175,0.29442723202519117,0.2,-0.05247044563293457,-1.0104686342179776,0.0003,1430,0.04098164290189743,0.226806640625,-0.04200961793685565
710,296960,0.2084072500000001,145,417,300.0,0.024283009,0.2186856926418841,0.2,-0.02268373966217041,-1.0095132920891046,0.0003,1440,0.008845947682857513,0.20703125,-0.03924480420246255
