time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
133200,444,1463,91,0.32802980000000004,300.0,0.7511924528301888,0.0071680485270917416,931,0.0001
134400,448,1469,91,0.20036742,300.0,0.7489509433962263,0.006499073468148708,943,0.0001
135600,452,1475,91,0.22425841000000005,300.0,0.7467094339622642,0.006284154020249844,955,0.0001
136800,456,1481,92,0.15610891000000005,300.0,0.7444679245283019,0.0032637035474181175,967,0.0001
138000,460,1487,92,-0.017853969999999962,300.0,0.7422264150943398,0.0044845715165138245,979,0.0001
139200,464,1492,93,-0.04145992,300.0,0.7399849056603773,0.005455660633742809,991,0.0001
140400,468,1498,93,-0.11076768000000001,300.0,0.7377433962264149,0.008786993101239204,1003,0.0001
141600,472,1504,94,0.07817756000000005,300.0,0.735501886792453,0.006202582735568285,1015,0.0001
142800,476,1509,94,0.20432701000000006,300.0,0.7332603773584905,0.007554537151008844,1027,0.0001
144000,480,1514,95,0.14426606000000003,300.0,0.7310188679245284,0.006685745902359486,1039,0.0001
145200,484,1519,95,0.11763814000000003,300.0,0.7287773584905661,0.004799051210284233,1051,0.0001
146400,488,1525,95,-0.01107636999999996,300.0,0.7265358490566036,0.0033726547844707966,1063,0.0001
147600,492,1530,96,-0.07489075000000003,300.0,0.7242943396226416,0.005195024888962507,1075,0.0001
148800,496,1535,96,-0.09295679999999999,300.0,0.7220528301886792,0.007006320171058178,1087,0.0001
150000,500,1539,97,-0.31158483,300.0,0.7198113207547172,0.004186504986137152,1099,0.0001
151200,504,1544,97,-0.24757496000000004,300.0,0.7175698113207547,0.0033659907057881355,1111,0.0001
152400,508,1549,98,-0.16809596999999996,300.0,0.7153283018867923,0.0038542498368769884,1123,0.0001
153600,512,1554,98,-0.11160484999999991,300.0,0.7130867924528304,0.007634642533957958,1135,0.0001
154800,516,1559,99,-0.05861822999999995,300.0,0.7108452830188678,0.004924599546939135,1147,0.0001
