time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,train/loss,train/learning_rate,train/n_updates
101,2.38266264,1200,300.0,0.7713660377358489,122400,408,0.006603089161217213,0.0001,823
102,2.59867013,1206,300.0,0.7691245283018869,123600,412,0.00740113016217947,0.0001,835
102,1.9434300999999998,1212,300.0,0.7668830188679245,124800,416,0.008315244689583778,0.0001,847
103,1.9940496100000005,1217,300.0,0.7646415094339625,126000,420,0.008427534252405167,0.0001,859
104,1.9841587300000003,1222,300.0,0.7624000000000001,127200,424,0.005194704979658127,0.0001,871
104,1.67236642,1228,300.0,0.7601584905660377,128400,428,0.007264676503837109,0.0001,883
105,1.21412535,1232,300.0,0.7579169811320756,129600,432,0.00670998077839613,0.0001,895
105,1.2265609099999997,1237,300.0,0.7556754716981131,130800,436,0.008255844004452229,0.0001,907
106,1.1151529400000002,1240,300.0,0.7534339622641508,132000,440,0.007991309277713299,0.0001,919
106,0.8248379499999998,1245,300.0,0.7511924528301888,133200,444,0.008540892973542213,0.0001,931
107,1.05984054,1249,300.0,0.7489509433962263,134400,448,0.008749719709157944,0.0001,943
108,1.1251638099999999,1253,300.0,0.7467094339622642,135600,452,0.008308712393045425,0.0001,955
108,1.5635263000000001,1258,300.0,0.7444679245283019,136800,456,0.004077334422618151,0.0001,967
109,1.08205208,1263,300.0,0.7422264150943398,138000,460,0.005233744625002146,0.0001,979
109,1.1377662499999999,1268,300.0,0.7399849056603773,139200,464,0.0076331766322255135,0.0001,991
110,1.3536243399999999,1273,300.0,0.7377433962264149,140400,468,0.009133506566286087,0.0001,1003
110,1.36355628,1277,300.0,0.735501886792453,141600,472,0.008394954726099968,0.0001,1015
111,1.59782196,1281,300.0,0.7332603773584905,142800,476,0.009712476283311844,0.0001,1027
111,1.5273063599999999,1285,300.0,0.7310188679245284,144000,480,0.009621202945709229,0.0001,1039
112,1.30842936,1290,300.0,0.7287773584905661,145200,484,0.007328159641474485,0.0001,1051
113,1.1622594199999998,1294,300.0,0.7265358490566036,146400,488,0.006319784093648195,0.0001,1063
113,1.06943777,1299,300.0,0.7242943396226416,147600,492,0.007769945077598095,0.0001,1075
114,0.6036672599999997,1303,300.0,0.7220528301886792,148800,496,0.008785109035670757,0.0001,1087
114,0.08095104000000002,1307,300.0,0.7198113207547172,150000,500,0.0065665594302117825,0.0001,1099
115,-0.16149304999999992,1311,300.0,0.7175698113207547,151200,504,0.005754968151450157,0.0001,1111
115,0.3338947599999999,1314,300.0,0.7153283018867923,152400,508,0.0046309130266308784,0.0001,1123
116,0.03203648000000001,1318,300.0,0.7130867924528304,153600,512,0.008624767884612083,0.0001,1135
117,0.20859077000000006,1322,300.0,0.7108452830188678,154800,516,0.007824293337762356,0.0001,1147
117,-0.08452123,1326,300.0,0.7086037735849058,156000,520,0.009216471575200558,0.0001,1159
118,-0.28251637999999996,1330,300.0,0.7063622641509434,157200,524,0.007882930338382721,0.0001,1171
