rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate
0.6508570631578946,28672,300.0,940,14,30,-0.0258152370195603,0.10462471842765808,0.2568643644452095,0.2,0.03100639581680298,0.009693291,0.100634765625,130,-1.8299002476036548,0.0003
0.38317546,30720,300.0,945,15,32,-0.027199042052961885,0.14641538262367249,0.38672820418141785,0.2,0.04386568069458008,0.010325716,0.121728515625,140,-1.8142537217587233,0.0003
0.22429063999999987,32768,300.0,949,16,34,-0.028372411151940467,0.08204054832458496,0.4627419628202915,0.2,0.0355907678604126,0.01023579,0.1193359375,150,-1.8105614300817252,0.0003
-0.2230380199999999,34816,300.0,950,17,36,-0.03114964938722551,0.1818290799856186,0.45335710793733597,0.2,-0.28105390071868896,0.01104697,0.122412109375,160,-1.7940964572131635,0.0003
-0.6529909200000003,36864,300.0,957,18,38,-0.028868696244899184,0.045315250754356384,0.2765996641945094,0.2,-0.05515468120574951,0.011324361,0.106396484375,170,-1.7722385354340076,0.0003
-0.2526146300000001,38912,300.0,952,19,40,-0.029336456963210366,0.21804168820381165,0.5857446663081646,0.2,0.013833165168762207,0.01062499,0.122705078125,180,-1.7376293405890464,0.0003
-0.6849815000000001,40960,300.0,957,20,42,-0.03177965162467444,0.10131048411130905,0.4003722731955349,0.2,-0.053054094314575195,0.011432247,0.1224609375,190,-1.7285015635192393,0.0003
-0.32117511,43008,300.0,962,21,44,-0.0318926243140595,0.19488859176635742,0.4885792532004416,0.2,0.05288201570510864,0.011887578,0.11875,200,-1.7265309531241655,0.0003
-0.17333244999999992,45056,300.0,962,22,46,-0.03294184982660227,0.21222427487373352,0.5786330292001367,0.2,-0.07429611682891846,0.014213564,0.157373046875,210,-1.7099369715899229,0.0003
-0.8587939099999997,47104,300.0,965,23,48,-0.03417381905019283,0.03621826320886612,0.35457865833304825,0.2,-0.008982419967651367,0.013121765,0.136962890625,220,-1.6872858386486769,0.0003
-0.48241691,49152,300.0,970,24,50,-0.03426176181383198,0.11467023193836212,0.5007633931934834,0.2,0.09012770652770996,0.013374483,0.15498046875,230,-1.673661520332098,0.0003
-0.67439178,51200,300.0,972,25,52,-0.029997686302522197,0.10041788965463638,0.30765561275184156,0.2,0.14178931713104248,0.011663673,0.135693359375,240,-1.6419894944876432,0.0003
-1.1056606500000001,53248,300.0,976,26,54,-0.03142896755307447,0.3543917238712311,0.6986757157370448,0.2,0.02602177858352661,0.013098635,0.153515625,250,-1.6143562447279691,0.0003
-1.08454087,55296,300.0,975,27,56,-0.033423316391417754,0.08309231698513031,0.23311334692407398,0.2,0.21239519119262695,0.013805904,0.15771484375,260,-1.6057766128331423,0.0003
-1.00423343,57344,300.0,976,28,58,-0.03639377574727405,0.06478990614414215,0.2342752505093813,0.2,0.34842556715011597,0.0131885335,0.1619140625,270,-1.6033441223204137,0.0003
-0.8824541999999999,59392,300.0,980,29,60,-0.02967097643413581,0.4633919298648834,0.8877760640345513,0.2,0.12978947162628174,0.012641113,0.133154296875,280,-1.5586711168289185,0.0003
-0.1767017000000001,61440,300.0,982,30,62,-0.029677331667335237,0.474557489156723,0.9354083679616452,0.2,0.26073598861694336,0.013295162,0.12919921875,290,-1.5318870171904564,0.0003
-0.3364611499999999,63488,300.0,982,31,64,-0.0364038465268095,0.08277997374534607,0.30246216100640594,0.2,0.2801465392112732,0.015013531,0.164892578125,300,-1.5256222318857908,0.0003
-0.0371187900000001,65536,300.0,982,32,66,-0.03048488866479602,0.16791348159313202,0.3706963922362775,0.2,0.2377249002456665,0.013587913,0.169580078125,310,-1.5243794124573469,0.0003
0.04159727000000017,67584,300.0,982,33,68,-0.03297003037878312,0.10049690306186676,0.5023096871562303,0.2,-0.027144789695739746,0.012847143,0.149853515625,320,-1.5070743672549725,0.0003
