rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss
300.0,0.16896983,17,667,34816,52,0.0003,160,-1.7371440269052982,0.133203125,0.010978264,-0.01876109652221203,0.044472496351227166,0.012678682804107666,0.2,-0.025069293803244363
300.0,0.18275812999999996,18,672,36864,54,0.0003,170,-1.7306369844824077,0.15068359375,0.012681253,-0.047761864960193634,0.043158095690887424,-0.003937721252441406,0.2,-0.028506661581923255
300.0,-0.005972130000000031,19,682,38912,56,0.0003,180,-1.7239294294267893,0.123681640625,0.011709888,-0.03758242726325989,0.06134563973173499,0.021465003490447998,0.2,-0.028216123224410694
300.0,0.011409190000000038,20,692,40960,59,0.0003,190,-1.7151165008544922,0.1248046875,0.012261962,-0.02460472285747528,0.02815121929743327,0.06535929441452026,0.2,-0.030533646763069557
300.0,0.10436543000000001,21,701,43008,61,0.0003,200,-1.7126083981245757,0.114794921875,0.011348288,-0.05523740500211716,0.030065654759528115,0.05979639291763306,0.2,-0.029124213155591862
300.0,0.19290563,22,704,45056,63,0.0003,210,-1.6839321132749319,0.1248046875,0.012526525,-0.021585620939731598,0.1223762535257265,0.027309417724609375,0.2,-0.030161492852494122
300.0,0.32263764999999994,23,709,47104,66,0.0003,220,-1.6847315415740014,0.120556640625,0.012397043,-0.024273168295621872,0.05383202215889469,-0.04554402828216553,0.2,-0.029703136076568624
300.0,0.14336601999999993,24,705,49152,69,0.0003,230,-1.6609459713101387,0.143310546875,0.012951949,-0.04263295233249664,0.08110373213421554,0.03997546434402466,0.2,-0.032595877873245624
300.0,-0.02551570000000008,25,712,51200,71,0.0003,240,-1.6416745409369469,0.1369140625,0.012463966,-0.05042430758476257,0.022709144503460267,-0.00860595703125,0.2,-0.031047010023030452
300.0,0.09243505999999996,26,716,53248,74,0.0003,250,-1.6270838133990764,0.14892578125,0.013381262,-0.057432983070611954,0.025910591601859777,-0.18556559085845947,0.2,-0.03215327535144752
300.0,-0.05154403000000005,27,722,55296,76,0.0003,260,-1.6095772486180067,0.160400390625,0.014739276,-0.04195082560181618,0.05754605545080267,0.035176873207092285,0.2,-0.035268121492117645
300.0,-0.14614082,28,729,57344,78,0.0003,270,-1.5966252446174622,0.1529296875,0.01427416,-0.06988812983036041,0.03340154264587909,0.17311173677444458,0.2,-0.03431218927871669
300.0,-0.06155718000000006,29,734,59392,80,0.0003,280,-1.5794901434332131,0.147119140625,0.014376618,-0.05382603779435158,0.04349400001810864,0.2706531882286072,0.2,-0.0329089234379353
300.0,-0.03364026000000003,30,736,61440,83,0.0003,290,-1.5938369572162627,0.146337890625,0.013203505,-0.025380048900842667,0.057482718920800834,0.15880662202835083,0.2,-0.03191047764266841
300.0,-0.028652709999999974,31,741,63488,85,0.0003,300,-1.6043750002980233,0.17236328125,0.014485375,-0.05225517973303795,0.05358348368899897,-0.08604013919830322,0.2,-0.03699763614567928
300.0,-0.11169517999999995,32,745,65536,87,0.0003,310,-1.5899793598800898,0.159716796875,0.013857497,-0.06390270590782166,0.04421058401931077,0.03129875659942627,0.2,-0.037482858108705844
300.0,-0.08818526000000002,33,750,67584,90,0.0003,320,-1.5599090408533811,0.157373046875,0.014067956,-0.023135319352149963,0.04223394102882594,0.07079273462295532,0.2,-0.032606916362419726
