time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/clip_range
802,94208,300.0,-0.42680149,46,117,0.174560546875,0.41519683599472046,0.016977258,-0.03458811149757821,-1.4875067021697759,450,-0.057852476835250854,0.0003,0.04165092867333442,0.2
803,96256,300.0,-0.40500746,47,119,0.144921875,0.4962849020957947,0.015431685,-0.02897435176128056,-1.472528900206089,460,-0.028720229864120483,0.0003,0.04682732401997782,0.2
807,98304,300.0,-0.66395876,48,121,0.152392578125,0.49755632877349854,0.013870757,-0.03207107333000749,-1.486618798971176,470,-0.03233662620186806,0.0003,0.03648716235184111,0.2
541,100352,300.0,-0.56963723,49,185,0.152783203125,0.2540682554244995,0.015373385,-0.032572294081910515,-1.4431089106947184,480,-0.039943285286426544,0.0003,0.05895521074417047,0.2
544,102400,300.0,-0.44090763999999993,50,188,0.17490234375,0.3272116780281067,0.016916126,-0.036006030367570926,-1.4336659487336874,490,-0.057571277022361755,0.0003,0.03785280021838844,0.2
547,104448,300.0,-0.39607838000000006,51,190,0.161083984375,0.44173765182495117,0.014242027,-0.03302192344272044,-1.4394449066370725,500,-0.05584606155753136,0.0003,0.012295535871817264,0.2
551,106496,300.0,-0.29372668,52,192,0.173681640625,0.35723990201950073,0.015418775,-0.03192378321837168,-1.451703517511487,510,-0.04126355051994324,0.0003,0.03409040081896819,0.2
554,108544,300.0,-0.24294463000000005,53,195,0.16826171875,0.547114372253418,0.0151843615,-0.035806637463974764,-1.468756304681301,520,-0.06738478690385818,0.0003,0.01662899988295976,0.2
557,110592,300.0,-0.06461071000000007,54,198,0.177978515625,0.3905256986618042,0.014840288,-0.0359079189656768,-1.4570154909044504,530,-0.029994959011673927,0.0003,0.037707932252669704,0.2
561,112640,300.0,-0.15682975,55,200,0.177392578125,0.4696041941642761,0.01785251,-0.03708157213986851,-1.431605790555477,540,-0.05856398865580559,0.0003,0.03144486335222609,0.2
564,114688,300.0,-0.22480375999999996,56,203,0.1630859375,0.23854267597198486,0.014171727,-0.03442035843181657,-1.418330267444253,550,-0.04976919665932655,0.0003,0.041355822922196236,0.2
568,116736,300.0,-0.1626456,57,205,0.167578125,0.17227482795715332,0.016882792,-0.03544021748239175,-1.4233460687100887,560,-0.03512316197156906,0.0003,0.036951430072076616,0.2
571,118784,300.0,-0.20071013999999995,58,207,0.17763671875,0.40053457021713257,0.01773293,-0.03455937901890138,-1.4017198871821166,570,-0.054926227778196335,0.0003,0.03211622957023792,0.2
574,120832,300.0,-0.053524710000000024,59,210,0.16142578125,-0.1499178409576416,0.013947459,-0.03473295728908852,-1.4043699588626624,580,-0.07015367597341537,0.0003,0.03252457357011736,0.2
577,122880,300.0,-0.09273294000000004,60,212,0.165673828125,0.14997845888137817,0.016267888,-0.03632854192692321,-1.3928250130265951,590,-0.06995290517807007,0.0003,0.03869494115933776,0.2
577,124928,300.0,-0.0019077899999999876,61,216,0.165380859375,-0.03536653518676758,0.016228404,-0.03458983685413841,-1.4098763197660447,600,-0.04845074564218521,0.0003,0.06995388282230124,0.2
579,126976,300.0,0.05111696000000002,62,218,0.1923828125,-0.009850144386291504,0.017780602,-0.03704160338966176,-1.390876353159547,610,-0.04889293015003204,0.0003,0.04570287275710143,0.2
582,129024,300.0,0.20299329000000008,63,221,0.185986328125,0.000521540641784668,0.018536828,-0.03728395602374803,-1.394719659537077,620,-0.06066640466451645,0.0003,0.02383446631138213,0.2
584,131072,300.0,0.15458083000000003,64,224,0.186865234375,-0.016045808792114258,0.018702399,-0.03725495197286364,-1.3392929971218108,630,-0.040168289095163345,0.0003,0.028496983542572706,0.2
587,133120,300.0,0.25457935000000004,65,226,0.1875,0.03973668813705444,0.016821323,-0.03772376627894118,-1.3535903606563806,640,-0.038853369653224945,0.0003,0.05944161360966973,0.2
589,135168,300.0,0.16756319,66,229,0.17724609375,0.046695828437805176,0.017610636,-0.03775362827873323,-1.3519302316009998,650,-0.0759272426366806,0.0003,0.031436102977022526,0.2
592,137216,300.0,0.17166152999999998,67,231,0.183447265625,0.06915056705474854,0.019639516,-0.03413192261068616,-1.3522886700928212,660,-0.04580044001340866,0.0003,0.08605854873312638,0.2
594,139264,300.0,0.08986713999999997,68,234,0.1810546875,0.09442418813705444,0.01788902,-0.0377015789214056,-1.3342188991606236,670,-0.06579896062612534,0.0003,0.02967554990318604,0.2
596,141312,300.0,0.17034572,69,236,0.18193359375,-0.007226228713989258,0.01692225,-0.03694512396759819,-1.3544227544218301,680,-0.05807366967201233,0.0003,0.043265624064952136,0.2
599,143360,300.0,0.36400451000000006,70,239,0.15869140625,-0.0036268234252929688,0.01621119,-0.0367561834747903,-1.3452930741012097,690,-0.011972948908805847,0.0003,0.08541200988693162,0.2
602,145408,300.0,0.2553075,71,241,0.191943359375,0.001951754093170166,0.018284773,-0.036142477962130215,-1.3397346079349517,700,-0.06636342406272888,0.0003,0.04684796005603857,0.2
604,147456,300.0,0.03379272999999998,72,243,0.19697265625,-0.1607513427734375,0.019338043,-0.038304405083181337,-1.330310069397092,710,-0.03189336508512497,0.0003,0.08646590501302853,0.2
606,149504,300.0,-0.0016562799999999616,73,246,0.183056640625,-0.06737184524536133,0.016735587,-0.03861671145132277,-1.352072161063552,720,-0.033376507461071014,0.0003,0.06344421523972414,0.2
608,151552,300.0,-0.059743819999999996,74,249,0.176513671875,-0.222603440284729,0.018767787,-0.03572764044656651,-1.3402347419410945,730,-0.055929794907569885,0.0003,0.020813752472167834,0.2
610,153600,300.0,0.029824249999999976,75,251,0.19931640625,-0.043856143951416016,0.018091273,-0.03920141187554691,-1.3411221280694008,740,-0.06367406249046326,0.0003,0.0385280252492521,0.2
612,155648,300.0,0.05110175999999999,76,254,0.163330078125,-0.01312100887298584,0.014932649,-0.03700059179391246,-1.3665407113730907,750,-0.05032633990049362,0.0003,0.054119811166310684,0.2
614,157696,300.0,0.031026599999999994,77,256,0.173095703125,0.025691628456115723,0.01720726,-0.036939068348146975,-1.35833497941494,760,-0.06629727780818939,0.0003,0.055964080296689644,0.2
617,159744,300.0,-0.01043581000000006,78,258,0.211669921875,-0.01690042018890381,0.020033749,-0.04246447144250851,-1.3332940969616174,770,-0.04602362960577011,0.0003,0.04032968278625049,0.2
619,161792,300.0,-0.06477505000000003,79,261,0.187255859375,-0.03544414043426514,0.017852936,-0.04147816920594778,-1.349095207452774,780,-0.040415190160274506,0.0003,0.09437275406671689,0.2
619,163840,300.0,-0.07444810000000002,80,264,0.197705078125,-0.3435084819793701,0.019265909,-0.03911283330089645,-1.2948847599327564,790,-0.05578452721238136,0.0003,0.02368651325814426,0.2
621,165888,300.0,-0.021855700000000127,81,266,0.193505859375,0.0001150965690612793,0.018308587,-0.03861688304750714,-1.3116719089448452,800,-0.04083777591586113,0.0003,0.03457009608973749,0.2
622,167936,300.0,0.04359292000000008,82,269,0.202392578125,0.09703028202056885,0.019775946,-0.0399115449283272,-1.2441318824887275,810,-0.05615464970469475,0.0003,0.040237729391083124,0.2
624,169984,300.0,0.18492046999999995,83,272,0.1919921875,0.3751887083053589,0.019308157,-0.03813525637087878,-1.2497820019721986,820,-0.07727368921041489,0.0003,0.011620218084135558,0.2
622,172032,300.0,-0.018741420000000068,84,276,0.17451171875,0.11575591564178467,0.0187542,-0.03555271030054428,-1.252305982261896,830,-0.024812156334519386,0.0003,0.04937905629631132,0.2
624,174080,300.0,0.0388054,85,278,0.195166015625,0.132817804813385,0.018789409,-0.03688188432424795,-1.2431245300918818,840,-0.05753778666257858,0.0003,0.046116232487838714,0.2
627,176128,300.0,0.050155980000000024,86,280,0.190576171875,0.19909656047821045,0.018238634,-0.03738595583999995,-1.238017188757658,850,-0.055817700922489166,0.0003,0.033615561650367456,0.2
629,178176,300.0,0.15811163999999997,87,283,0.2115234375,0.18599647283554077,0.021113152,-0.041018083272501824,-1.217874364554882,860,-0.04818781837821007,0.0003,0.045838426012778655,0.2
631,180224,300.0,0.2992923600000001,88,285,0.197265625,0.05804252624511719,0.019176202,-0.036797607148764656,-1.2338941875845193,870,-0.02969738468527794,0.0003,0.06315591700840742,0.2
633,182272,300.0,0.19559132999999998,89,287,0.20283203125,-0.1962987184524536,0.021119457,-0.03857961340108886,-1.232759291306138,880,-0.045306600630283356,0.0003,0.014025002128619235,0.2
635,184320,300.0,0.15345571,90,290,0.203076171875,-0.08216893672943115,0.01811282,-0.040418706130003555,-1.2222785763442516,890,-0.05390556901693344,0.0003,0.03005917716072872,0.2
638,186368,300.0,0.07632954999999998,91,292,0.204736328125,0.12810254096984863,0.020491134,-0.0401712799386587,-1.192792958393693,900,-0.08718901872634888,0.0003,0.05029581675771624,0.2
638,188416,300.0,0.12119126000000004,92,295,0.19150390625,0.09820324182510376,0.021212284,-0.03860497332061641,-1.1930821049958467,910,-0.008240040391683578,0.0003,0.08074136145878583,0.2
639,190464,300.0,0.21760374,93,297,0.21845703125,-0.8485637903213501,0.024921715,-0.04009454672923311,-1.1690116737037897,920,-0.05131933093070984,0.0003,0.019873470251332036,0.2
640,192512,300.0,0.22219809000000001,94,300,0.1869140625,0.11958026885986328,0.017589774,-0.0387743068713462,-1.2145444232970477,930,-0.04844266176223755,0.0003,0.015828103717649356,0.2
