time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates
99,300.0,48,98304,990,0.7500512200000001,0.15087890625,-1.4314057864248753,0.0148412585,-0.03210897230528644,0.2,0.03862139582633972,0.0003,0.25258147227577865,0.5480267405509949,470
156,300.0,49,100352,641,1.0080813300000002,0.149462890625,-1.3883165027946234,0.0146575505,-0.03254134671005886,0.2,0.18252792954444885,0.0003,0.4505877451039851,0.2174939513206482,480
158,300.0,50,102400,645,0.46842999999999985,0.17666015625,-1.3991495937108993,0.01535237,-0.03506161008117488,0.2,0.1799226701259613,0.0003,0.5696622645482421,0.1054919958114624,490
160,300.0,51,104448,650,0.13465313999999992,0.174755859375,-1.4368303146213293,0.01531271,-0.0372232553025242,0.2,0.16498352587223053,0.0003,0.5013397533446551,-0.0013244152069091797,500
162,300.0,52,106496,654,-0.18138354000000015,0.1755859375,-1.4305549640208484,0.01756758,-0.03783317922207061,0.2,0.004010885953903198,0.0003,0.12792009504046292,-0.03522074222564697,510
164,300.0,53,108544,659,-0.27621586,0.1509765625,-1.4371417783200742,0.015721885,-0.031249777897028253,0.2,0.09484819322824478,0.0003,0.3440421736799181,-0.005289316177368164,520
167,300.0,54,110592,661,-0.11560538999999992,0.175048828125,-1.412616142258048,0.015981901,-0.036556286131963135,0.2,0.10856204479932785,0.0003,0.5044451635330915,-0.036714792251586914,530
169,300.0,55,112640,665,-0.06250090999999988,0.15400390625,-1.4110857732594013,0.015029017,-0.0311318900086917,0.2,0.29094910621643066,0.0003,0.5449785077478737,0.0011534690856933594,540
171,300.0,56,114688,670,0.15959577,0.16484375,-1.375867535173893,0.0155765405,-0.031931047668331304,0.2,0.052822381258010864,0.0003,0.23016907102428377,0.06345438957214355,550
173,300.0,57,116736,673,0.06783447000000009,0.187548828125,-1.3537359200417995,0.01653881,-0.03399292462854646,0.2,0.13533565402030945,0.0003,0.41909502097405493,0.10176891088485718,560
175,300.0,58,118784,676,-0.06891247999999982,0.157275390625,-1.3344255555421114,0.01486416,-0.03487096506287344,0.2,0.02919265627861023,0.0003,0.26607948672026394,0.1312185525894165,570
177,300.0,59,120832,680,0.21098141999999995,0.160205078125,-1.313948680460453,0.015143605,-0.03272678481298499,0.2,0.05648494139313698,0.0003,0.2702952505555004,-0.04632270336151123,580
179,300.0,60,122880,684,1.08842129,0.199365234375,-1.310382802411914,0.019226123,-0.034236828550638164,0.2,0.038082294166088104,0.0003,0.27303925310261545,0.0954136848449707,590
181,300.0,61,124928,688,1.16662065,0.170947265625,-1.33274264074862,0.016111284,-0.03578968104557134,0.2,0.11274448037147522,0.0003,0.3136818374041468,0.1748868227005005,600
183,300.0,62,126976,690,1.0236108599999998,0.167138671875,-1.3052342664450407,0.016226396,-0.03326757613249356,0.2,0.02651144564151764,0.0003,0.19320639839861542,0.3050454258918762,610
