time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss
228,591,135168,-0.019701049999999977,66,300.0,0.0003,0.019980669,-0.03822240009030793,0.04857619679532945,0.24871337413787842,650,0.2,-0.08367335051298141,0.21259765625,-1.3124092184007168
231,592,137216,0.013243880000000015,67,300.0,0.0003,0.018473335,-0.03712588382186368,0.04405410869512707,0.14522522687911987,660,0.2,-0.05495690181851387,0.188232421875,-1.3182554177939891
233,595,139264,-0.08835495000000003,68,300.0,0.0003,0.019143809,-0.042468114115763456,0.02670732248807326,0.2131926417350769,670,0.2,-0.06330882012844086,0.20625,-1.3209969379007815
236,598,141312,0.07636571,69,300.0,0.0003,0.01589254,-0.0345327688010002,0.05648780317278579,-0.010470151901245117,680,0.2,-0.05268571525812149,0.17822265625,-1.3229406047612429
238,600,143360,0.16430999999999998,70,300.0,0.0003,0.02225349,-0.039989365340443325,0.0278536461351905,0.21753036975860596,690,0.2,-0.06438231468200684,0.208984375,-1.306538849323988
240,603,145408,0.3309953199999998,71,300.0,0.0003,0.016734162,-0.034759878525801466,0.08222972971852868,0.1950899362564087,700,0.2,-0.021820485591888428,0.184130859375,-1.3135258197784423
243,606,147456,0.31779604999999994,72,300.0,0.0003,0.018886296,-0.039595269883284344,0.05553009225986898,-0.03142905235290527,710,0.2,-0.035608306527137756,0.183642578125,-1.3069448862224817
245,608,149504,0.42049848999999995,73,300.0,0.0003,0.01691484,-0.03784056656586472,0.05451208878075704,0.1914404034614563,720,0.2,-0.08017250895500183,0.185595703125,-1.2937758922576905
248,609,151552,0.42404212,74,300.0,0.0003,0.015279768,-0.03704813545919024,0.04627015003934502,0.3228863477706909,730,0.2,-0.06446639448404312,0.18115234375,-1.2908090569078923
251,611,153600,0.3794832499999999,75,300.0,0.0003,0.017989643,-0.03541228607937228,0.08380956469336524,0.19387710094451904,740,0.2,-0.02723715454339981,0.189501953125,-1.262232842296362
253,614,155648,0.55696587,76,300.0,0.0003,0.018449046,-0.03632927259313874,0.03522997045656666,0.41305428743362427,750,0.2,-0.03065243549644947,0.190478515625,-1.2683164779096843
255,616,157696,0.3650395499999999,77,300.0,0.0003,0.018450586,-0.035311473094043325,0.044788476574467495,0.44661229848861694,760,0.2,-0.02348354458808899,0.179150390625,-1.2696768280118704
258,618,159744,0.3215643799999999,78,300.0,0.0003,0.021051113,-0.036921632909798066,0.05056992301251739,0.4540695548057556,770,0.2,-0.07727387547492981,0.19365234375,-1.2582020595669747
260,620,161792,0.32508001,79,300.0,0.0003,0.020700704,-0.039854910675785504,0.030115584476152434,0.35196220874786377,780,0.2,-0.04227709770202637,0.196923828125,-1.2575416769832373
263,621,163840,0.31436619,80,300.0,0.0003,0.018173538,-0.03934900083695538,0.04029310739133507,0.27059561014175415,790,0.2,-0.060709938406944275,0.1890625,-1.2593763906508684
266,623,165888,0.33400962,81,300.0,0.0003,0.020663515,-0.03648760018404573,0.0752210311125964,0.08523720502853394,800,0.2,-0.031802743673324585,0.18837890625,-1.2498733215034008
269,623,167936,0.39383382,82,300.0,0.0003,0.01674981,-0.036375379597302526,0.04238213522476144,0.1361505389213562,810,0.2,-0.029313823208212852,0.17890625,-1.2715989615768195
271,626,169984,0.3894610300000001,83,300.0,0.0003,0.01924013,-0.03609091732942034,0.02184969520312734,0.14978545904159546,820,0.2,-0.007428310811519623,0.195068359375,-1.2590046487748623
275,625,172032,0.38472285999999994,84,300.0,0.0003,0.018773291,-0.039770668093115094,0.059159001987427476,0.08748406171798706,830,0.2,-0.056635912507772446,0.183984375,-1.3029025930911302
278,625,174080,0.4173003300000002,85,300.0,0.0003,0.017706022,-0.037676226426265204,0.01221931898908224,0.12635564804077148,840,0.2,-0.08969549834728241,0.188232421875,-1.2636477001011373
280,627,176128,0.46907221,86,300.0,0.0003,0.018239293,-0.039267677115276456,0.10485725139733404,0.08231616020202637,850,0.2,-0.04516115039587021,0.1955078125,-1.2276775613427162
282,629,178176,0.5032706,87,300.0,0.0003,0.016770959,-0.03648663192579989,0.031896165030775595,0.03362703323364258,860,0.2,-0.05725061520934105,0.18330078125,-1.2396332655102014
285,631,180224,0.5677051799999999,88,300.0,0.0003,0.018046178,-0.036907719462760724,0.019645050761755555,-0.09653139114379883,870,0.2,-0.05153720825910568,0.182470703125,-1.207664678990841
287,633,182272,0.62236416,89,300.0,0.0003,0.018564194,-0.03608788034180179,0.07614333732053638,0.14501851797103882,880,0.2,-0.02126866951584816,0.187841796875,-1.2123323753476143
289,635,184320,0.54374219,90,300.0,0.0003,0.01981587,-0.03748014777956996,0.03891400206484832,0.30828893184661865,890,0.2,-0.04950306564569473,0.204052734375,-1.1978503976017236
291,638,186368,0.45998771,91,300.0,0.0003,0.017970162,-0.03592901754600462,0.026455874476232565,0.3464154005050659,900,0.2,-0.05345851182937622,0.19296875,-1.2086479913443327
294,638,188416,0.4442077899999999,92,300.0,0.0003,0.019592956,-0.039115625756676306,0.013771432181238196,0.5493726134300232,910,0.2,-0.05288657173514366,0.188525390625,-1.2015231028199196
297,640,190464,0.45698052000000006,93,300.0,0.0003,0.023096703,-0.040400979487458244,0.07002012350130826,0.2332080602645874,920,0.2,-0.039378002285957336,0.2173828125,-1.2181109450757504
300,641,192512,0.45997185,94,300.0,0.0003,0.022452101,-0.04058133374346653,0.03222823685500771,0.3539431095123291,930,0.2,-0.06992393732070923,0.211376953125,-1.190536255389452
303,640,194560,0.47363843999999994,95,300.0,0.0003,0.02055087,-0.040389022574527186,0.022193027631146833,0.37399065494537354,940,0.2,-0.059095598757267,0.204443359375,-1.1603841587901116
307,638,196608,0.5096752399999999,96,300.0,0.0003,0.01967318,-0.03753430898068473,0.03612664412939921,0.4186626672744751,950,0.2,-0.07036490738391876,0.1990234375,-1.1843177910894156
311,638,198656,0.33772410999999997,97,300.0,0.0003,0.021820836,-0.03657169382204302,0.14945352646755056,0.13153952360153198,960,0.2,-0.010232284665107727,0.214208984375,-1.194638090580702
375,534,200704,0.15594806999999997,98,300.0,0.0003,0.021305997,-0.034774909375119026,0.08510814382461832,0.26661455631256104,970,0.2,-0.026457205414772034,0.195654296875,-1.1637668687850238
378,535,202752,0.05569397000000003,99,300.0,0.0003,0.017543696,-0.035821046234923416,0.06523102523642592,0.2980601191520691,980,0.2,-0.052061568945646286,0.18603515625,-1.179046043381095
381,537,204800,0.052856670000000036,100,300.0,0.0003,0.020774236,-0.038819213146052786,0.048454020399367435,0.4313367009162903,990,0.2,-0.04990018159151077,0.186328125,-1.1994000211358071
384,538,206848,-0.05372417999999997,101,300.0,0.0003,0.01849078,-0.03418003238766687,0.04391280430718325,0.132859468460083,1000,0.2,-0.03224204108119011,0.180810546875,-1.1576642207801342
386,540,208896,-0.09290523000000009,102,300.0,0.0003,0.017848123,-0.038185164632159284,0.08493234685156495,0.1428961157798767,1010,0.2,-0.04463576525449753,0.186376953125,-1.175729000940919
388,542,210944,-0.18177859,103,300.0,0.0003,0.021208776,-0.03732849450025242,0.03130139741115272,0.38440608978271484,1020,0.2,-0.06418778002262115,0.186181640625,-1.1755869187414647
390,545,212992,-0.10032785999999999,104,300.0,0.0003,0.020922229,-0.036048928793752565,0.022242754697799683,0.5293387174606323,1030,0.2,-0.0563109889626503,0.19287109375,-1.1488853368908167
393,547,215040,-0.3003041,105,300.0,0.0003,0.019652234,-0.03748756312124897,0.08089434335706755,0.3092547655105591,1040,0.2,-0.03533528372645378,0.19150390625,-1.1702257521450519
395,549,217088,-0.33129025,106,300.0,0.0003,0.017854646,-0.03777650443080347,0.04860041548963636,0.4218575954437256,1050,0.2,-0.05596185103058815,0.185986328125,-1.1651314485818147
398,550,219136,-0.21252035000000002,107,300.0,0.0003,0.0212477,-0.035910077537118924,0.025813519133953376,0.6191043853759766,1060,0.2,-0.0724860206246376,0.206591796875,-1.1890823014080525
400,552,221184,-0.34527444999999984,108,300.0,0.0003,0.021110658,-0.04396807662997162,0.021849399973871187,0.7005634903907776,1070,0.2,-0.0465799942612648,0.21904296875,-1.1877161748707294
402,554,223232,-0.36865084,109,300.0,0.0003,0.020312358,-0.03751192676427308,0.02588355492334813,0.6246363520622253,1080,0.2,-0.04880311340093613,0.1841796875,-1.1538546446710825
405,555,225280,-0.44422837000000004,110,300.0,0.0003,0.018925764,-0.035625034681288525,0.04575893837609328,0.3340800404548645,1090,0.2,-0.03225867450237274,0.19521484375,-1.1127210643142462
410,553,227328,-0.25131774,111,300.0,0.0003,0.01997166,-0.04129398060613312,0.0820649251458235,0.1625443696975708,1100,0.2,-0.06309282034635544,0.208056640625,-1.12256027366966
414,552,229376,-0.15172795999999994,112,300.0,0.0003,0.022418085,-0.03616907817486208,0.06543932278873399,-0.08474183082580566,1110,0.2,-0.03339936584234238,0.202392578125,-1.1119562534615397
421,548,231424,-0.07233627000000005,113,300.0,0.0003,0.021826796,-0.03707072266261093,0.12750805816613137,0.1100279688835144,1120,0.2,-0.0058057308197021484,0.217919921875,-1.1023020701482893
425,548,233472,-0.029972640000000047,114,300.0,0.0003,0.02118988,-0.03689400207513245,0.07199208667734638,0.05765843391418457,1130,0.2,-0.04139665886759758,0.195458984375,-1.0993460815399885
430,546,235520,0.02709459999999992,115,300.0,0.0003,0.022709332,-0.03726660010870546,0.0825228103902191,0.08285164833068848,1140,0.2,-0.012547466903924942,0.210986328125,-1.10337040014565
434,546,237568,-0.0074928300000000015,116,300.0,0.0003,0.01716445,-0.03412214986456093,0.08209002810763195,-0.0723121166229248,1150,0.2,-0.02769005298614502,0.187255859375,-1.0747991096228362
437,547,239616,-0.08045189000000001,117,300.0,0.0003,0.021169325,-0.03515247399336659,0.057453377021010964,0.09623998403549194,1160,0.2,-0.04406782239675522,0.201171875,-1.0893133137375117
